step,worstDrift_wu,worstDriftBone,divergeCap_wu,worstPen_wu,contacts,kineticE_wu2,cageLimitHits,cageSafetyHits,boneLimitHits,divergeClamped,nan,tetherHits,worstPinnedTargetErr_wu
231,0.225260,297,0.315839,0.001864,254,3.4662005e-05,0,0,0,0,0,55,0.34225
232,0.225415,297,0.315839,0.002015,201,0.00012353225,0,0,0,0,0,61,0.34144
233,0.225095,297,0.315839,0.001938,186,4.1385626e-05,0,0,0,0,0,55,0.34144
234,0.225423,297,0.315839,0.001955,232,0.00015093304,0,0,0,0,0,61,0.3408
235,0.225236,297,0.315839,0.001994,203,5.0989184e-05,0,0,0,0,0,55,0.3408
236,0.225518,297,0.315839,0.001923,209,0.0001895541,0,0,0,0,0,60,0.33997
237,0.225003,297,0.315839,0.002024,191,6.6341231e-05,0,0,0,0,0,55,0.33997
238,0.225331,297,0.315839,0.001907,244,0.00022585693,0,0,0,0,0,60,0.33912
239,0.225032,297,0.315839,0.002040,247,8.4081432e-05,0,0,0,0,0,55,0.33912
240,0.225755,297,0.315839,0.001942,202,0.00026653922,0,0,0,0,0,61,0.33863
241,0.225084,297,0.315839,0.002009,185,0.00010690675,0,0,0,0,0,54,0.33863
242,0.225721,297,0.315839,0.001896,252,0.00028304512,0,0,0,0,0,60,0.33782
243,0.225297,297,0.315839,0.002055,255,0.00012424919,0,0,0,0,0,53,0.33782
244,0.226542,297,0.315839,0.002008,191,0.00034401954,0,0,0,0,0,61,0.3377
245,0.225746,297,0.315839,0.002085,191,0.00015480733,0,0,0,0,0,56,0.3377
246,0.227290,297,0.315839,0.002312,224,0.00039623926,0,0,0,0,0,59,0.33791
247,0.226659,297,0.315839,0.001943,285,0.0001814314,0,0,0,0,0,57,0.33791
248,0.228720,297,0.315839,0.002343,230,0.0004748126,0,0,0,0,0,58,0.33868
249,0.227616,297,0.315839,0.001918,183,0.00021824367,0,0,0,0,0,58,0.33868
250,0.229500,297,0.315839,0.002287,170,0.00050727332,0,0,0,0,0,58,0.33898
251,0.228503,297,0.315839,0.002468,223,0.0002449253,0,0,0,0,0,57,0.33898
252,0.230595,297,0.315839,0.002015,150,0.00053066475,0,0,0,0,0,56,0.33996
253,0.229346,297,0.315839,0.001960,237,0.00026354132,0,0,0,0,0,58,0.33996
254,0.231346,297,0.315839,0.002272,139,0.0005066056,0,0,0,0,0,56,0.34095
255,0.230354,297,0.315839,0.001942,232,0.00026720985,0,0,0,0,0,57,0.34095
256,0.232601,297,0.315839,0.002131,133,0.00050911533,0,0,0,0,0,56,0.3417
257,0.231577,297,0.315839,0.002208,237,0.0002696564,0,0,0,0,0,60,0.3417
258,0.234005,297,0.315839,0.002196,116,0.00052634239,0,0,0,0,0,55,0.34253
259,0.233034,297,0.315839,0.001804,215,0.00027939449,0,0,0,0,0,58,0.34253
260,0.235480,297,0.315839,0.002144,145,0.00057284864,0,0,0,0,0,55,0.34383
261,0.234456,297,0.315839,0.001856,180,0.00029139033,0,0,0,0,0,55,0.34383
262,0.237129,297,0.315839,0.002127,133,0.00054470682,0,0,0,0,0,55,0.34555
263,0.236170,297,0.315839,0.002455,210,0.0002869341,0,0,0,0,0,56,0.34555
264,0.238800,297,0.315839,0.002059,165,0.00053979028,0,0,0,0,0,54,0.34681
265,0.237690,297,0.315839,0.001942,174,0.00028698964,0,0,0,0,0,54,0.34681
266,0.240091,297,0.315839,0.002056,127,0.00049227172,0,0,0,0,0,53,0.34858
267,0.239182,297,0.315839,0.001945,179,0.00026652226,0,0,0,0,0,54,0.34858
268,0.241378,297,0.315839,0.002064,95,0.0004156409,0,0,0,0,0,53,0.35044
269,0.240528,297,0.315839,0.001935,171,0.00023495892,0,0,0,0,0,55,0.35044
270,0.242326,297,0.315839,0.002052,132,0.00032910368,0,0,0,0,0,55,0.35193
271,0.241498,297,0.315839,0.001941,200,0.00019273599,0,0,0,0,0,54,0.35193
272,0.242539,297,0.315839,0.002079,189,0.00024189315,0,0,0,0,0,55,0.35327
273,0.241776,297,0.315839,0.001909,171,0.00014688052,0,0,0,0,0,55,0.35327
274,0.242308,297,0.315839,0.002101,160,0.000176257,0,0,0,0,0,53,0.35429
275,0.241684,297,0.315839,0.001882,228,0.00010621568,0,0,0,0,0,50,0.35429
276,0.241908,297,0.315839,0.002117,160,0.00012567808,0,0,0,0,0,50,0.35504
277,0.241390,297,0.315839,0.001862,161,7.3465022e-05,0,0,0,0,0,51,0.35504
278,0.241156,297,0.315839,0.002125,155,9.0172333e-05,0,0,0,0,0,52,0.3551
279,0.240756,297,0.315839,0.001849,189,4.5672591e-05,0,0,0,0,0,51,0.3551
280,0.240180,297,0.315839,0.002100,160,6.5128938e-05,0,0,0,0,0,50,0.35449
281,0.239883,297,0.315839,0.001866,165,3.3824449e-05,0,0,0,0,0,51,0.35449
282,0.239169,297,0.315839,0.002064,111,6.8008318e-05,0,0,0,0,0,50,0.35443
283,0.239009,297,0.315839,0.001893,107,3.4711479e-05,0,0,0,0,0,51,0.35443
284,0.238031,297,0.315839,0.001996,84,0.00010781599,0,0,0,0,0,49,0.35395
285,0.238088,297,0.315839,0.001950,100,5.3870313e-05,0,0,0,0,0,51,0.35395
286,0.236816,297,0.315839,0.002092,64,0.00019224213,0,0,0,0,0,52,0.35342
287,0.237113,297,0.315839,0.001855,89,8.9398552e-05,0,0,0,0,0,52,0.35342
288,0.235370,297,0.315839,0.002165,59,0.00030101335,0,0,0,0,0,49,0.35287
289,0.235964,297,0.315839,0.001782,61,0.00013652511,0,0,0,0,0,53,0.35287
290,0.234383,297,0.315839,0.002007,85,0.00042921245,0,0,0,0,0,51,0.35324
291,0.235247,297,0.315839,0.001947,48,0.00019897599,0,0,0,0,0,53,0.35324
292,0.234063,297,0.315839,0.002322,41,0.00067284951,0,0,0,0,0,48,0.35383
293,0.235126,297,0.315839,0.002103,25,0.00028280402,0,0,0,0,0,55,0.35383
294,0.233774,297,0.315839,0.002494,65,0.00076848303,0,0,0,0,0,46,0.35475
295,0.234883,297,0.315839,0.002116,56,0.00033963676,0,0,0,0,0,54,0.35475
296,0.233438,297,0.315839,0.002377,66,0.00082748003,0,0,0,0,0,46,0.35604
